Provinsi,Tanggal,Suhu_Celsius
Jambi,2023-01-16,24.44645669400567
Jawa Tengah,2023-01-16,24.677236612130848
Jawa Timur,2023-01-16,24.681807373224046
Kalimantan Barat,2023-01-16,25.602761834904182
Kalimantan Selatan,2023-01-16,26.145622383491656
Kalimantan Tengah,2023-01-16,26.938543058525976
Kalimantan Timur,2023-01-16,24.9640616464036
Lampung,2023-01-16,25.05630400929498
Nusa Tenggara Barat,2023-01-16,24.43277162197673
Nusa Tenggara Timur,2023-01-16,24.516541366281757
Sulawesi Tengah,2023-01-16,23.59859787843608
Sulawesi Tenggara,2023-01-16,25.170537368787585
Sumatera Barat,2023-01-16,22.766129940421127
Sumatera Utara,2023-01-16,22.36871962319821
Maluku,2023-01-17,26.146844009858945
Maluku Utara,2023-01-17,25.179393833379805
Kepulauan Bangka Belitung,2023-01-17,25.87462940288563
Banten,2023-01-17,24.325709648617448
Gorontalo,2023-01-17,24.39952644105417
Papua Barat,2023-01-17,24.699856322163
Jawa Barat,2023-01-17,23.17069693883153
Papua,2023-01-17,24.466867559990227
Sulawesi Utara,2023-01-17,24.169181007116155
Sumatera Selatan,2023-01-17,23.624807743841384
Kepulauan Riau,2023-01-17,26.435106532809016
Riau,2023-01-17,24.22917054126033
Sulawesi Barat,2023-01-17,22.748970622227635
Sulawesi Selatan,2023-01-17,23.70607301464639
Aceh,2023-01-17,21.309379452878456
Bali,2023-01-17,23.741089826866386
DI Yogyakarta,2023-01-17,24.667742355250283
DKI Jakarta,2023-01-17,25.202082317143336
Jambi,2023-01-17,23.712878709011285
Jawa Tengah,2023-01-17,24.117918982411226
Jawa Timur,2023-01-17,24.48347487823513
Kalimantan Barat,2023-01-17,25.92675440070849
Kalimantan Selatan,2023-01-17,25.74513071388856
Kalimantan Tengah,2023-01-17,26.36784483608992
Kalimantan Timur,2023-01-17,24.40531574249364
Lampung,2023-01-17,23.82328194328311
Nusa Tenggara Barat,2023-01-17,24.67533679535239
Nusa Tenggara Timur,2023-01-17,24.90185849604281
Sulawesi Tengah,2023-01-17,23.18447224039908
Sulawesi Tenggara,2023-01-17,24.911867605821293
Sumatera Barat,2023-01-17,22.385601268622143
Sumatera Utara,2023-01-17,22.565214429806808
Maluku,2023-01-18,25.717169161929775
Maluku Utara,2023-01-18,24.88180840499111
Kepulauan Bangka Belitung,2023-01-18,25.28317157787504
Banten,2023-01-18,24.741862219048915
Gorontalo,2023-01-18,24.163882982608868
Papua Barat,2023-01-18,23.96491441934254
Jawa Barat,2023-01-18,23.07113747461595
Papua,2023-01-18,23.712610546498787
Sulawesi Utara,2023-01-18,24.01830388355149
Sumatera Selatan,2023-01-18,24.608555774038912
Kepulauan Riau,2023-01-18,26.3673250700244
Riau,2023-01-18,25.473330995412287
Sulawesi Barat,2023-01-18,21.529237684462142
Sulawesi Selatan,2023-01-18,23.052665405048597
Aceh,2023-01-18,21.639444855651945
Bali,2023-01-18,23.70715421564741
DI Yogyakarta,2023-01-18,24.33432446641005
DKI Jakarta,2023-01-18,25.37303084807663
Jambi,2023-01-18,24.086665048482978
Jawa Tengah,2023-01-18,23.843030176882845
Jawa Timur,2023-01-18,24.197331354624552
Kalimantan Barat,2023-01-18,24.93560322577492
Kalimantan Selatan,2023-01-18,24.313885227925653
Kalimantan Tengah,2023-01-18,24.745935455872463
Kalimantan Timur,2023-01-18,23.491460309772204
Lampung,2023-01-18,24.42855130861869
Nusa Tenggara Barat,2023-01-18,24.40921620541498
Nusa Tenggara Timur,2023-01-18,24.65417650704667
Sulawesi Tengah,2023-01-18,22.728616842815956
Sulawesi Tenggara,2023-01-18,24.674853398549825
Sumatera Barat,2023-01-18,22.85962150383008
Sumatera Utara,2023-01-18,22.974448663502297
Maluku,2023-01-19,25.18404252180366
Maluku Utara,2023-01-19,24.764157601388263
Kepulauan Bangka Belitung,2023-01-19,25.315699162688546
Banten,2023-01-19,24.227356216095217
Gorontalo,2023-01-19,24.257531396428448
Papua Barat,2023-01-19,24.25119754636258
Jawa Barat,2023-01-19,22.922711761269184
Papua,2023-01-19,23.272138198808168
Sulawesi Utara,2023-01-19,23.9898673276558
